APPLICATION_ID,APPL_ID_LINK,IC_NAME,Topic_30,Topic_30_Name,Topic_20,Topic_20_Name,Topic_15,Topic_15_Name,Topic_10,Topic_10_Name,Topic_5,Topic_5_Name
10899744,https:/reporter.nih.gov/search/onjb5G8Os0GTCg1S7QJ-eA/project-details/10899744#similar-Projects,NATIONAL CENTER FOR COMPLEMENTARY & INTEGRATIVE HEALTH,9,Heart Health & Cardiology,8,Cardiovascular Health,2,Metabolic Disorders,0,Vascular Disease,1,Neurological Aging
10861134,https:/reporter.nih.gov/search/oyCBEWE5ckukagJ4hOozLw/project-details/10861134#similar-Projects,NATIONAL CANCER INSTITUTE,1,Public Health & Caregiving,1,Physical Activity Interventions,3,Cognitive Health,3,Mental Health,2,Health Interventions
10891397,https:/reporter.nih.gov/search/1O-qiNfqME-kE0mDqea2Dg/project-details/10891397#similar-Projects,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",9,Heart Health & Cardiology,8,Cardiovascular Health,2,Metabolic Disorders,0,Vascular Disease,0,Cell Genomics
10999918,https:/reporter.nih.gov/search/EJIUvcEYlkefa921r4svLQ/project-details/10999918#similar-Projects,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,4,Neurodegenerative Diseases,2,Alzheimer's Biomarkers,6,Neurodegenerative Diseases,6,Alzheimer's Disease and Dementia,1,Neurological Aging
10890438,https:/reporter.nih.gov/search/GJAEXzXXHE2YNOs5D4CSHg/project-details/10890438#similar-Projects,NATIONAL CANCER INSTITUTE,19,Prostate Cancer & Biomarkers,4,Tumor Microenvironment,0,Cancer Biology,4,Cancer Biology,4,Cancer Biology
10834100,https:/reporter.nih.gov/search/XhFO2aVEAEaSHeq0CRF17Q/project-details/10834100#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,11,Genomics & Gene Expression,11,Genomics and Phenotypes,8,Genomic Studies,6,Alzheimer's Disease and Dementia,1,Neurological Aging
10923386,https:/reporter.nih.gov/search/imQWxyIZg0e8s1CMn6ws2g/project-details/10923386#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,10,HIV Prevention & Mental Health,6,HIV Prevention Strategies,5,HIV Interventions,3,Mental Health,2,Health Interventions
10816568,https:/reporter.nih.gov/search/oSI5dbUdKk--8AGEvWDtAw/project-details/10816568#similar-Projects,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,1,Public Health & Caregiving,1,Physical Activity Interventions,3,Cognitive Health,8,Substance Use,2,Health Interventions
10886627,https:/reporter.nih.gov/search/UQGY1TY7JUifekdw7ni4zg/project-details/10886627#similar-Projects,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,22,Bone Health & Osteoporosis,15,Stem Cell Regeneration,2,Metabolic Disorders,0,Vascular Disease,0,Cell Genomics
10901915,https:/reporter.nih.gov/search/UCmzSoSWp0S3s6LlMVl8Mg/project-details/10901915#similar-Projects,NATIONAL INSTITUTE ON AGING,4,Neurodegenerative Diseases,2,Alzheimer's Biomarkers,6,Neurodegenerative Diseases,6,Alzheimer's Disease and Dementia,1,Neurological Aging
11174971,https:/reporter.nih.gov/search/mYpkdSO48USjHztdrXjfcA/project-details/11174971#similar-Projects,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",21,MRI Imaging & Brain Health,14,Health Data Analysis,8,Genomic Studies,7,Research Management,0,Cell Genomics
10818561,https:/reporter.nih.gov/search/2LYn9DrO7EWOhCfT10Sq3g/project-details/10818561#similar-Projects,NATIONAL EYE INSTITUTE,6,Lung Fibrosis & Inflammation,3,Inflammation and Immunity,4,Respiratory Health,1,Immune Response,3,Immune Response
10781985,https:/reporter.nih.gov/search/81bTsFQ9NkK6t8MJPGmZAQ/project-details/10781985#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,3,HIV Immunology & Vaccines,9,Viral Infections Immunity,11,Viral Infections,1,Immune Response,3,Immune Response
10806150,https:/reporter.nih.gov/search/vheUBcjr30yA5igIZ_lc_g/project-details/10806150#similar-Projects,NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES,8,DNA Repair & Transcription,10,DNA Repair Mechanisms,10,DNA Repair,2,Gene Expression,4,Cancer Biology
10907636,https:/reporter.nih.gov/search/lLLtSdpzGEKzE81xJoebAQ/project-details/10907636#similar-Projects,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,15,Substance Use & Addiction,0,Neuronal Brain Function,1,Neuroscience,8,Substance Use,2,Health Interventions
10690469,https:/reporter.nih.gov/search/VWHa6SzPoEisDnAdYsHRkw/project-details/10690469#similar-Projects,NATIONAL CANCER INSTITUTE,19,Prostate Cancer & Biomarkers,17,Prostate Cancer Detection,8,Genomic Studies,4,Cancer Biology,4,Cancer Biology
10893491,https:/reporter.nih.gov/search/RlANlPwrtkG8d4EvBcQqmA/project-details/10893491#similar-Projects,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",21,MRI Imaging & Brain Health,14,Health Data Analysis,3,Cognitive Health,6,Alzheimer's Disease and Dementia,2,Health Interventions
10845530,https:/reporter.nih.gov/search/lf501eDgAUuU5m46yUGFUA/project-details/10845530#similar-Projects,NATIONAL CANCER INSTITUTE,8,DNA Repair & Transcription,10,DNA Repair Mechanisms,10,DNA Repair,2,Gene Expression,4,Cancer Biology
10843280,https:/reporter.nih.gov/search/pL5FasG5Gk6Hd1Ervyl9Iw/project-details/10843280#similar-Projects,NATIONAL INSTITUTE ON AGING,2,Neuroscience & Sleep Regulation,2,Alzheimer's Biomarkers,6,Neurodegenerative Diseases,5,Neuronal Signaling,1,Neurological Aging
10800040,https:/reporter.nih.gov/search/gPVM1yAzo02DEYtjKgJBvA/project-details/10800040#similar-Projects,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,21,MRI Imaging & Brain Health,14,Health Data Analysis,8,Genomic Studies,7,Research Management,1,Neurological Aging
10914123,https:/reporter.nih.gov/search/gdcyPG7mdkK7A7O0huKAFg/project-details/10914123#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,28,Core Administration & Research,13,Research Core Services,12,Core Services,7,Research Management,2,Health Interventions
10869733,https:/reporter.nih.gov/search/zJFDVUTx_0etCMXO3Vsl-g/project-details/10869733#similar-Projects,NATIONAL INSTITUTE ON DRUG ABUSE,15,Substance Use & Addiction,0,Neuronal Brain Function,1,Neuroscience,8,Substance Use,2,Health Interventions
10773458,https:/reporter.nih.gov/search/tqaawZQrZ0mlA9KIkrOCxg/project-details/10773458#similar-Projects,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,5,Cell Signaling & Receptors,5,Protein Signaling Pathways,7,Stem Cell Biology,2,Gene Expression,0,Cell Genomics
10807099,https:/reporter.nih.gov/search/zU30I_HUFkyWkw57vN4jAw/project-details/10807099#similar-Projects,NATIONAL CANCER INSTITUTE,5,Cell Signaling & Receptors,5,Protein Signaling Pathways,7,Stem Cell Biology,2,Gene Expression,0,Cell Genomics
10910010,https:/reporter.nih.gov/search/SYZfil-WUkSZboC1h37W-w/project-details/10910010#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,19,Prostate Cancer & Biomarkers,17,Prostate Cancer Detection,8,Genomic Studies,2,Gene Expression,4,Cancer Biology
10844540,https:/reporter.nih.gov/search/1m5LZ_661UmMvDg9vl5s1A/project-details/10844540#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,16,Data Management & Bioinformatics,13,Research Core Services,12,Core Services,7,Research Management,2,Health Interventions
10832017,https:/reporter.nih.gov/search/NkygFGa-GUyzpMfS7bCiFA/project-details/10832017#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,4,Neurodegenerative Diseases,2,Alzheimer's Biomarkers,6,Neurodegenerative Diseases,6,Alzheimer's Disease and Dementia,1,Neurological Aging
10906944,https:/reporter.nih.gov/search/dulD1akVsUW-YhSzh73Rfg/project-details/10906944#similar-Projects,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,11,Genomics & Gene Expression,15,Stem Cell Regeneration,7,Stem Cell Biology,2,Gene Expression,0,Cell Genomics
10850237,https:/reporter.nih.gov/search/kDEeyYGfj0iCdCw5o6LktA/project-details/10850237#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,2,Neuroscience & Sleep Regulation,0,Neuronal Brain Function,1,Neuroscience,8,Substance Use,1,Neurological Aging
10866652,https:/reporter.nih.gov/search/U-1eeUUo1kK6HY0ZsmvPKQ/project-details/10866652#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,27,Tuberculosis Infection & Treatment,7,Tuberculosis Immunity,9,Tuberculosis Research,1,Immune Response,3,Immune Response
10762468,https:/reporter.nih.gov/search/LM8W7jH4bUuxKT5xBeum5w/project-details/10762468#similar-Projects,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,1,Public Health & Caregiving,1,Physical Activity Interventions,3,Cognitive Health,3,Mental Health,2,Health Interventions
10847362,https:/reporter.nih.gov/search/GYAHGnKKxEiY4dLorQa_jw/project-details/10847362#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,5,Cell Signaling & Receptors,5,Protein Signaling Pathways,7,Stem Cell Biology,2,Gene Expression,0,Cell Genomics
10873881,https:/reporter.nih.gov/search/8u-YyvzQyE-kqRGydGheUw/project-details/10873881#similar-Projects,NATIONAL CANCER INSTITUTE,19,Prostate Cancer & Biomarkers,17,Prostate Cancer Detection,0,Cancer Biology,4,Cancer Biology,4,Cancer Biology
10911255,https:/reporter.nih.gov/search/Vq_YekymaEWSF9QfRQmHdw/project-details/10911255#similar-Projects,NATIONAL INSTITUTE ON AGING,1,Public Health & Caregiving,1,Physical Activity Interventions,5,HIV Interventions,3,Mental Health,2,Health Interventions
10735900,https:/reporter.nih.gov/search/eh8RQEzlzE-Bl0cRJB4SUA/project-details/10735900#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,29,Malaria Parasite & Immunity,7,Tuberculosis Immunity,9,Tuberculosis Research,1,Immune Response,3,Immune Response
10811056,https:/reporter.nih.gov/search/B7LtNdqDGU-gjja9dYSOCQ/project-details/10811056#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,3,HIV Immunology & Vaccines,9,Viral Infections Immunity,11,Viral Infections,1,Immune Response,3,Immune Response
10884330,https:/reporter.nih.gov/search/boncoPmgVkqPbtcnwPziXA/project-details/10884330#similar-Projects,NATIONAL CANCER INSTITUTE,25,Leukemia Research & Stem Cells,16,Leukemia Biology,0,Cancer Biology,4,Cancer Biology,4,Cancer Biology
10889148,https:/reporter.nih.gov/search/j2oW5RFrSUmiA3pMr2CgPg/project-details/10889148#similar-Projects,NATIONAL INSTITUTE ON AGING,28,Core Administration & Research,13,Research Core Services,12,Core Services,7,Research Management,2,Health Interventions
10926868,https:/reporter.nih.gov/search/2-346gIaREiOxVRnU77ESA/project-details/10926868#similar-Projects,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,11,Genomics & Gene Expression,11,Genomics and Phenotypes,8,Genomic Studies,2,Gene Expression,0,Cell Genomics
10892047,https:/reporter.nih.gov/search/7vXLtFvv1UWr8oMLm_H_Wg/project-details/10892047#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,6,Lung Fibrosis & Inflammation,3,Inflammation and Immunity,4,Respiratory Health,1,Immune Response,3,Immune Response
10910551,https:/reporter.nih.gov/search/ztRFAeGr0E-t94Ijcha_6A/project-details/10910551#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,7,Brain Injury & Neurology,0,Neuronal Brain Function,13,Eye Diseases,5,Neuronal Signaling,1,Neurological Aging
10747404,https:/reporter.nih.gov/search/c76U_J-Wg0WpbaLM88txUQ/project-details/10747404#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,7,Brain Injury & Neurology,0,Neuronal Brain Function,1,Neuroscience,5,Neuronal Signaling,1,Neurological Aging
10802279,https:/reporter.nih.gov/search/oGRuNEuqaEiqcumeXFp3-A/project-details/10802279#similar-Projects,NATIONAL CANCER INSTITUTE,8,DNA Repair & Transcription,10,DNA Repair Mechanisms,10,DNA Repair,2,Gene Expression,4,Cancer Biology
10875276,https:/reporter.nih.gov/search/qwiwWs0aiECJOpVLlGBa0w/project-details/10875276#similar-Projects,NATIONAL CANCER INSTITUTE,13,Liver Health & Disease,12,Liver Disease Mechanisms,0,Cancer Biology,4,Cancer Biology,0,Cell Genomics
10830350,https:/reporter.nih.gov/search/0LAJt7I2EEaxUFtXL8-dxA/project-details/10830350#similar-Projects,NATIONAL INSTITUTE ON AGING,4,Neurodegenerative Diseases,2,Alzheimer's Biomarkers,6,Neurodegenerative Diseases,6,Alzheimer's Disease and Dementia,1,Neurological Aging
10869249,https:/reporter.nih.gov/search/cbDrCYRkoEGEsh8W9OFblQ/project-details/10869249#similar-Projects,NATIONAL CANCER INSTITUTE,1,Public Health & Caregiving,1,Physical Activity Interventions,3,Cognitive Health,3,Mental Health,2,Health Interventions
10808105,https:/reporter.nih.gov/search/J0gUMwdNakSZHvzEgUgqbw/project-details/10808105#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,3,HIV Immunology & Vaccines,9,Viral Infections Immunity,11,Viral Infections,1,Immune Response,3,Immune Response
10756158,https:/reporter.nih.gov/search/OEpdru1dvkW_q8PFyG49VQ/project-details/10756158#similar-Projects,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",9,Heart Health & Cardiology,8,Cardiovascular Health,2,Metabolic Disorders,0,Vascular Disease,0,Cell Genomics
10814402,https:/reporter.nih.gov/search/dZuBFlz79UWICr8uAKZ9mA/project-details/10814402#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,5,Cell Signaling & Receptors,5,Protein Signaling Pathways,7,Stem Cell Biology,2,Gene Expression,0,Cell Genomics
10765301,https:/reporter.nih.gov/search/rz_EhAA_20m3u0sB6bfH2Q/project-details/10765301#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,8,DNA Repair & Transcription,10,DNA Repair Mechanisms,10,DNA Repair,2,Gene Expression,0,Cell Genomics
10778042,https:/reporter.nih.gov/search/jHpRrxBvvEy2b2htQyDoAA/project-details/10778042#similar-Projects,NATIONAL CENTER FOR COMPLEMENTARY & INTEGRATIVE HEALTH,1,Public Health & Caregiving,1,Physical Activity Interventions,3,Cognitive Health,3,Mental Health,2,Health Interventions
10903435,https:/reporter.nih.gov/search/9GuZtZ6HoUu5BuB5lDVdzg/project-details/10903435#similar-Projects,NATIONAL EYE INSTITUTE,12,Auditory Processing & Hearing Loss,0,Neuronal Brain Function,1,Neuroscience,5,Neuronal Signaling,1,Neurological Aging
10771290,https:/reporter.nih.gov/search/AQZQFBkFW0mpdCxBIdhwPg/project-details/10771290#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,2,Neuroscience & Sleep Regulation,0,Neuronal Brain Function,1,Neuroscience,5,Neuronal Signaling,1,Neurological Aging
10874694,https:/reporter.nih.gov/search/6Eiqo8NQbUKH9DcL7Sq1bg/project-details/10874694#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,2,Neuroscience & Sleep Regulation,0,Neuronal Brain Function,1,Neuroscience,5,Neuronal Signaling,1,Neurological Aging
10847391,https:/reporter.nih.gov/search/D4xVnluVRkeeN5Ey-DPx4A/project-details/10847391#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,5,Cell Signaling & Receptors,10,DNA Repair Mechanisms,10,DNA Repair,2,Gene Expression,0,Cell Genomics
10874691,https:/reporter.nih.gov/search/f0IfWnmi5UamO0LB1p8oZA/project-details/10874691#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,29,Malaria Parasite & Immunity,7,Tuberculosis Immunity,9,Tuberculosis Research,1,Immune Response,3,Immune Response
10815715,https:/reporter.nih.gov/search/-TdZNbBPXEquQ9Lq8hpSew/project-details/10815715#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,17,Autoimmunity & Inflammation,3,Inflammation and Immunity,4,Respiratory Health,0,Vascular Disease,3,Immune Response
10857326,https:/reporter.nih.gov/search/G5lvxVglcU6Gr5nanNMVlQ/project-details/10857326#similar-Projects,NATIONAL HUMAN GENOME RESEARCH INSTITUTE,11,Genomics & Gene Expression,11,Genomics and Phenotypes,8,Genomic Studies,2,Gene Expression,0,Cell Genomics
10918164,https:/reporter.nih.gov/search/a0nu4IRFNEmlw9-IQeOAOA/project-details/10918164#similar-Projects,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,12,Auditory Processing & Hearing Loss,0,Neuronal Brain Function,1,Neuroscience,5,Neuronal Signaling,1,Neurological Aging
10930102,https:/reporter.nih.gov/search/AjCuCxoaJ0qn9kGPIf5mZQ/project-details/10930102#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,11,Genomics & Gene Expression,11,Genomics and Phenotypes,8,Genomic Studies,2,Gene Expression,0,Cell Genomics
10805397,https:/reporter.nih.gov/search/HWfkAHTzdEuXNWvBy5hlyA/project-details/10805397#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,12,Auditory Processing & Hearing Loss,0,Neuronal Brain Function,1,Neuroscience,5,Neuronal Signaling,1,Neurological Aging
10842375,https:/reporter.nih.gov/search/4yALlqLpEkOxrrinGX8Mkg/project-details/10842375#similar-Projects,NATIONAL INSTITUTE OF MENTAL HEALTH,16,Data Management & Bioinformatics,13,Research Core Services,12,Core Services,7,Research Management,2,Health Interventions
10841484,https:/reporter.nih.gov/search/uy7SkbFsdEuyocavYVldnA/project-details/10841484#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,3,HIV Immunology & Vaccines,9,Viral Infections Immunity,11,Viral Infections,1,Immune Response,3,Immune Response
10810302,https:/reporter.nih.gov/search/QhqCbCgrOUuDbCEAv2Yw5g/project-details/10810302#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,3,HIV Immunology & Vaccines,9,Viral Infections Immunity,11,Viral Infections,1,Immune Response,3,Immune Response
10827495,https:/reporter.nih.gov/search/lMT3TrthcUi9B3PsEFH11Q/project-details/10827495#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,5,Cell Signaling & Receptors,5,Protein Signaling Pathways,14,Molecular Biology,2,Gene Expression,0,Cell Genomics
10817903,https:/reporter.nih.gov/search/1SUNWNJbxUWPsrLRB5ObVQ/project-details/10817903#similar-Projects,NATIONAL HUMAN GENOME RESEARCH INSTITUTE,11,Genomics & Gene Expression,11,Genomics and Phenotypes,8,Genomic Studies,7,Research Management,0,Cell Genomics
10861843,https:/reporter.nih.gov/search/QWqLkiLdcEq6C6ZCrHPAng/project-details/10861843#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,29,Malaria Parasite & Immunity,11,Genomics and Phenotypes,8,Genomic Studies,2,Gene Expression,3,Immune Response
10850668,https:/reporter.nih.gov/search/KkrEvWMPYUaCOW8BYJQFQg/project-details/10850668#similar-Projects,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,2,Neuroscience & Sleep Regulation,0,Neuronal Brain Function,1,Neuroscience,5,Neuronal Signaling,1,Neurological Aging
10836430,https:/reporter.nih.gov/search/bHKHHGXNzEeSYkf-mdP0Rg/project-details/10836430#similar-Projects,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,7,Brain Injury & Neurology,2,Alzheimer's Biomarkers,13,Eye Diseases,5,Neuronal Signaling,1,Neurological Aging
10896149,https:/reporter.nih.gov/search/PV80Jqdc7EOZ6yvhvqwmUg/project-details/10896149#similar-Projects,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,7,Brain Injury & Neurology,0,Neuronal Brain Function,1,Neuroscience,5,Neuronal Signaling,1,Neurological Aging
10750965,https:/reporter.nih.gov/search/wqLIWf6HDE-toVdz5QgysQ/project-details/10750965#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,26,Synthesis & Catalysis,5,Protein Signaling Pathways,14,Molecular Biology,2,Gene Expression,0,Cell Genomics
10933444,https:/reporter.nih.gov/search/cOfS7IiTaUypmTzhnVCIAA/project-details/10933444#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,18,Extracellular Matrix & Regeneration,15,Stem Cell Regeneration,7,Stem Cell Biology,2,Gene Expression,0,Cell Genomics
10767636,https:/reporter.nih.gov/search/mJ-Sr2kuz0e18KACyA1lag/project-details/10767636#similar-Projects,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,11,Genomics & Gene Expression,11,Genomics and Phenotypes,8,Genomic Studies,2,Gene Expression,0,Cell Genomics
10800767,https:/reporter.nih.gov/search/BAf2lym9vkuOQDhTLK2-kQ/project-details/10800767#similar-Projects,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",21,MRI Imaging & Brain Health,14,Health Data Analysis,8,Genomic Studies,7,Research Management,1,Neurological Aging
10874702,https:/reporter.nih.gov/search/wYZcsTobiUeaqGQT6Oa2XQ/project-details/10874702#similar-Projects,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,8,DNA Repair & Transcription,11,Genomics and Phenotypes,8,Genomic Studies,2,Gene Expression,0,Cell Genomics
